,Palavras,"(Documento, Ocorrência)"
188,cúpula,"[(65, 2), (133, 3), (165, 1), (105, 2), (79, 1), (208, 2), (246, 1), (23, 1), (90, 2), (63, 3), (69, 3)]"
189,concedem,"[(140, 1), (76, 1)]"
190,partilhado,"[(172, 2)]"
191,dignificou,"[(189, 1)]"
192,desenvolvidas,"[(24, 1), (20, 1)]"
193,hiato,"[(244, 1), (47, 1)]"
194,partilhada,"[(43, 1)]"
195,tech,"[(110, 1)]"
196,humanos.,"[(29, 1)]"
197,desocupados,"[(216, 1)]"
198,internet.2,"[(153, 1)]"
199,estrasburgo,"[(185, 1)]"
200,teresa,"[(194, 1), (13, 2)]"
201,enfraquece,"[(166, 2)]"
202,opção,"[(96, 1), (37, 1), (55, 2), (58, 1), (103, 1), (90, 3), (30, 2), (173, 1)]"
203,pêndulo,"[(33, 1)]"
204,religiosos,"[(8, 1), (93, 1), (173, 2)]"
205,rico,"[(145, 3), (210, 1), (180, 1), (149, 1), (135, 1), (87, 1), (189, 1)]"
206,pedindo-lhe,"[(45, 1), (30, 1)]"
207,rick,"[(189, 3)]"
208,zombou,"[(101, 1)]"
209,irá,"[(32, 1), (96, 1), (101, 1), (138, 1), (129, 1), (42, 1), (91, 1), (247, 1), (29, 1), (191, 1)]"
210,irã,"[(60, 1), (77, 1), (23, 1)]"
211,rica,"[(33, 1), (133, 1), (145, 1)]"
212,últimas,"[(193, 1), (196, 2), (198, 1), (9, 1), (205, 2), (82, 2), (19, 1), (213, 1), (86, 2), (23, 1), (152, 2), (217, 1), (90, 1), (221, 1), (94, 1), (234, 1), (107, 2), (50, 1), (114, 1), (57, 1), (60, 1), (126, 1)]"
213,enganada,"[(249, 1)]"
214,impôs,"[(16, 2), (107, 1)]"
215,rêgo,"[(166, 1)]"
216,desconcertar,"[(102, 1)]"
217,medicação,"[(112, 2)]"
218,caribe,"[(33, 1), (146, 1), (123, 1), (161, 1)]"
219,gesseiro,"[(249, 1)]"
220,policial,"[(65, 2), (230, 1), (7, 2), (105, 1), (241, 1), (204, 1), (238, 1), (239, 2), (113, 4), (14, 1), (151, 2), (217, 1)]"
221,lembrando,"[(238, 1)]"
222,liberais,"[(3, 1), (84, 1), (211, 1)]"
223,compras,"[(24, 1)]"
224,comprar,"[(32, 1), (129, 1), (184, 1), (124, 2), (87, 1)]"
225,compram,"[(211, 1), (181, 1)]"
226,abordadas,"[(248, 1)]"
227,triunfama,"[(166, 1)]"
228,ajudante,"[(140, 1)]"
229,aprovava,"[(249, 1)]"
230,revenda,"[(124, 1)]"
231,doaram,"[(167, 1)]"
232,gostosas,"[(190, 1)]"
233,proibidos,"[(117, 1), (165, 1)]"
234,amelinha,"[(151, 1)]"
235,areces,"[(129, 1)]"
236,xvi,"[(164, 1)]"
237,hipoativo,"[(170, 1)]"
238,alternativa,"[(34, 2), (37, 2), (166, 1), (167, 1), (137, 1), (107, 2), (239, 1), (152, 1), (84, 3), (23, 1), (148, 1), (121, 1), (29, 1), (69, 1)]"
239,caminhões,"[(65, 2), (15, 1)]"
240,ira,"[(104, 1), (184, 3), (82, 1), (20, 1), (204, 1)]"
241,lote,"[(139, 4)]"
242,letting,"[(192, 1)]"
243,natura,"[(183, 1)]"
244,subsolo,"[(157, 1)]"
245,desenlace,"[(185, 1), (143, 1)]"
246,internet.é,"[(216, 1)]"
247,imponente,"[(223, 1)]"
248,hostilidades,"[(246, 1)]"
249,anatomia,"[(184, 1), (151, 2)]"
250,retomada,"[(144, 1), (217, 3), (138, 4), (173, 1), (166, 1)]"
251,mãos,"[(230, 1), (194, 1), (69, 1), (70, 2), (7, 1), (151, 1), (13, 1), (206, 1), (190, 1), (16, 1), (145, 1), (22, 1), (23, 1), (152, 1), (154, 2), (248, 1), (31, 1), (160, 2), (34, 2), (198, 1), (166, 3), (232, 1), (105, 1), (107, 2), (109, 1), (174, 1), (175, 1), (181, 1), (184, 1), (249, 2), (126, 1), (191, 1)]"
252,veem,"[(97, 1), (180, 1), (214, 1), (152, 1), (43, 1), (156, 1)]"
253,tenista,"[(43, 1)]"
254,.passava,"[(158, 1)]"
255,litígios,"[(128, 3)]"
256,psicólogo,"[(45, 2)]"
257,educação.existe,"[(221, 1)]"
258,célebres,"[(93, 1)]"
259,praticada,"[(166, 1)]"
260,latino.to,"[(110, 1)]"
261,escalada,"[(3, 1), (109, 3), (246, 1)]"
262,literalidade,"[(151, 1)]"
263,diferentes.–,"[(63, 1)]"
264,gradualista,"[(32, 1)]"
265,exclusividade,"[(194, 1), (130, 1), (92, 1), (118, 1), (102, 1)]"
266,amplos.para,"[(152, 1)]"
267,pastores,"[(244, 1)]"
268,filmar,"[(10, 1), (187, 4), (186, 1), (198, 1)]"
269,novíssima,"[(166, 1)]"
270,ambíguo,"[(33, 1), (185, 1)]"
271,guerra.como,"[(12, 1)]"
272,bestialidade,"[(16, 1)]"
273,dava,"[(16, 1), (7, 1), (184, 1), (9, 1), (187, 1), (45, 1), (158, 1)]"
274,medida,"[(65, 1), (83, 1), (3, 1), (70, 1), (135, 1), (8, 1), (202, 1), (23, 1), (208, 4), (152, 1), (147, 1), (22, 1), (151, 1), (88, 3), (25, 3), (218, 1), (211, 1), (94, 1), (165, 1), (32, 1), (98, 1), (37, 2), (102, 1), (42, 1), (235, 1), (173, 1), (115, 2), (117, 2), (246, 2), (153, 1), (185, 1), (186, 1), (63, 1)]"
275,davi,"[(240, 1), (230, 1)]"
276,colombianos,"[(204, 1), (63, 1)]"
277,roubadas,"[(188, 1), (6, 1)]"
278,trocaria,"[(135, 1)]"
279,agitação,"[(239, 1)]"
280,linguagem,"[(193, 2), (214, 1), (60, 1), (203, 1), (172, 1), (174, 2)]"
281,crivo.,"[(10, 1)]"
282,impulsionaram,"[(10, 1)]"
283,subjacente,"[(132, 1)]"
284,deste,"[(128, 1), (192, 1), (2, 1), (197, 1), (193, 1), (138, 2), (139, 2), (12, 1), (66, 1), (207, 1), (189, 2), (208, 1), (81, 1), (82, 1), (19, 1), (149, 1), (86, 1), (151, 1), (24, 1), (90, 1), (205, 1), (156, 3), (154, 1), (223, 1), (164, 1), (230, 2), (166, 2), (63, 2), (42, 2), (173, 1), (47, 1), (49, 1), (114, 1), (179, 1), (180, 1), (182, 2), (185, 1), (59, 1), (125, 1), (21, 1)]"
285,habilitados,"[(26, 1)]"
286,fiquei,"[(69, 1), (214, 1), (232, 1), (217, 1), (223, 2), (102, 1), (63, 1)]"
287,doenças.falando,"[(70, 1)]"
288,fiquem,"[(240, 1), (78, 1)]"
289,democracies,"[(150, 1)]"
290,jungo,"[(108, 1)]"
291,dilui,"[(31, 1)]"
292,deteriorado,"[(9, 1)]"
293,agarrar,"[(31, 1)]"
294,deteriorada,"[(112, 1), (89, 1), (47, 1)]"
295,comoção,"[(76, 1), (63, 1)]"
296,mananciais,"[(155, 1)]"
297,desmembrado,"[(90, 1), (91, 1)]"
298,principal.,"[(58, 1)]"
299,amistosos,"[(121, 1), (45, 1), (119, 2)]"
300,1.samuel,"[(160, 1)]"
301,algum,"[(129, 1), (194, 1), (203, 1), (196, 1), (69, 2), (198, 2), (7, 1), (210, 1), (11, 2), (144, 1), (18, 1), (147, 4), (151, 2), (152, 1), (228, 1), (26, 1), (239, 2), (92, 1), (93, 1), (30, 2), (159, 2), (32, 1), (208, 2), (162, 1), (36, 3), (166, 1), (102, 1), (104, 1), (41, 1), (109, 1), (223, 1), (221, 1), (185, 1), (222, 2), (55, 1), (57, 1), (191, 1), (189, 1), (63, 2)]"
302,houve.é,"[(63, 1)]"
303,academia,"[(115, 1), (243, 1), (181, 1), (135, 1), (25, 1), (60, 1), (13, 1)]"
304,extremismos,"[(120, 1), (210, 1), (107, 1), (29, 1)]"
305,ridicularizadas,"[(59, 1)]"
306,propagam,"[(153, 1)]"
307,imersa,"[(16, 1)]"
308,brasil.com,"[(111, 1)]"
309,letra,"[(185, 2), (19, 1), (183, 2)]"
310,sensibilidade,"[(152, 2), (20, 1), (198, 1)]"
311,desaparecer,"[(224, 2)]"
312,tudo.com,"[(64, 1)]"
313,preparando,"[(209, 1), (196, 1), (70, 1)]"
314,arrefece,"[(76, 1)]"
315,desaparecem,"[(16, 1), (80, 1)]"
316,internacionalizar,"[(139, 1)]"
317,duffer,"[(176, 1)]"
318,hae,"[(64, 1)]"
319,coincidênciaso,"[(151, 1)]"
320,atualizadas,"[(228, 1)]"
321,municipal,"[(113, 1), (242, 1), (76, 1), (125, 2), (47, 2)]"
322,evolução,"[(123, 1), (12, 1), (45, 1)]"
323,convocou,"[(8, 1), (90, 1), (98, 1), (55, 2)]"
324,recôncavo,"[(173, 1)]"
325,fabulador,"[(13, 1)]"
326,osmar,"[(115, 4), (228, 1), (203, 2)]"
327,indicativo,"[(82, 1)]"
328,gado,"[(16, 2)]"
329,queimando,"[(166, 1)]"
330,compartilhou,"[(176, 1), (18, 1), (118, 1)]"
331,fanatismo,"[(16, 1), (244, 1)]"
332,afronta,"[(104, 1), (214, 1), (173, 1), (166, 1)]"
333,identidade,"[(201, 1), (6, 1), (9, 1), (42, 1), (141, 1), (14, 1), (239, 1), (80, 1), (19, 1), (89, 1), (152, 1), (25, 1), (154, 1), (60, 1), (159, 1)]"
334,admitidos,"[(217, 1), (197, 1), (110, 1)]"
335,colchoneros,"[(56, 1)]"
336,beneficiam,"[(124, 1), (180, 1), (12, 1), (203, 1)]"
337,palazyan,"[(60, 1)]"
338,culpar,"[(153, 2), (146, 1), (107, 1), (150, 1)]"
339,linchado,"[(151, 1)]"
340,classificado,"[(197, 1)]"
341,cogeco,"[(5, 4)]"
342,devoram,"[(89, 1), (140, 1)]"
343,sobrinha-neta,"[(201, 2)]"
344,classificada,"[(117, 1), (63, 1)]"
345,beneficiar,"[(124, 1)]"
346,reparo,"[(149, 1)]"
347,assinada,"[(232, 1), (81, 1)]"
348,assinado,"[(243, 1), (126, 1), (223, 1)]"
349,oposição,"[(69, 1), (6, 1), (7, 1), (204, 2), (209, 2), (210, 1), (84, 8), (213, 2), (88, 2), (218, 1), (95, 1), (225, 2), (98, 1), (229, 1), (165, 1), (166, 5), (104, 1), (42, 1), (235, 1), (173, 1), (238, 1), (240, 1), (168, 1), (248, 4), (124, 1), (106, 1)]"
350,vascaíno,"[(120, 1), (50, 1)]"
351,leningrado,"[(201, 1)]"
352,conhecida,"[(208, 1), (194, 1), (244, 2), (86, 1), (105, 1), (14, 2)]"
353,conhecido,"[(197, 1), (198, 1), (177, 1), (104, 1), (9, 1), (210, 1), (110, 1), (47, 1), (112, 1), (17, 1), (114, 2), (244, 1), (14, 2), (86, 1), (151, 1), (56, 1), (249, 1), (26, 1), (123, 1), (216, 1), (93, 1)]"
354,corporativos,"[(140, 1)]"
355,aprendia,"[(158, 1)]"
356,alterado,"[(25, 1), (127, 1)]"
357,indenizará,"[(52, 1)]"
358,oferta.a,"[(124, 1)]"
359,povoado,"[(249, 1), (245, 1), (23, 1)]"
360,povoada,"[(87, 1)]"
361,publiquemos,"[(211, 1)]"
362,mba,"[(150, 1)]"
363,tediosos,"[(69, 1)]"
364,polegar,"[(22, 1)]"
365,desconfiada,"[(107, 1), (86, 1)]"
366,pedir-lhes,"[(182, 1)]"
367,altitude,"[(109, 3), (46, 1)]"
368,solicitado,"[(41, 1), (34, 1), (206, 1)]"
369,vivências,"[(161, 2)]"
370,soprava,"[(182, 1)]"
371,perfumes,"[(30, 1)]"
372,mostrou-se,"[(124, 1), (46, 1)]"
373,realizando,"[(208, 1), (164, 1), (69, 1), (119, 1)]"
374,verde,"[(137, 1), (65, 1), (212, 1), (81, 1)]"
375,apoiado,"[(42, 1), (244, 1), (25, 1), (26, 1), (207, 1), (106, 1), (15, 1)]"
376,línguas—,"[(190, 1)]"
377,cumes,"[(244, 1)]"
378,precisariam,"[(180, 1), (221, 2)]"
379,1958.,"[(6, 1)]"
380,azi,"[(240, 1)]"
381,imobiliário.a,"[(135, 1)]"
382,pesou,"[(41, 1), (113, 1)]"
383,pensamento,"[(130, 1), (99, 1), (229, 1), (166, 1), (89, 2), (172, 1), (93, 1), (221, 1)]"
384,pesos,"[(96, 1), (65, 3), (166, 1)]"
385,vélez,"[(225, 3), (18, 2), (215, 2), (233, 2), (156, 1), (221, 1), (222, 4)]"
386,apoiada,"[(80, 1), (112, 1), (3, 1), (243, 1), (73, 1), (25, 1), (138, 1), (208, 1)]"
387,moderna,"[(69, 1), (166, 1), (135, 1), (9, 1), (60, 2), (173, 1), (185, 1)]"
388,retiveram,"[(65, 1)]"
389,moderno,"[(16, 1), (84, 1)]"
390,minar,"[(248, 1), (65, 1), (63, 1)]"
391,minas,"[(42, 1), (243, 1), (61, 1), (214, 2)]"
392,voroshilov,"[(16, 1)]"
393,chegados,"[(247, 1)]"
394,incorporação,"[(121, 1), (108, 1), (79, 1)]"
395,encontrada,"[(244, 1), (108, 1), (214, 1)]"
396,eventual,"[(96, 1), (106, 1), (173, 1), (206, 1), (205, 1)]"
397,encontrado,"[(80, 1), (66, 1), (123, 1), (122, 1)]"
398,sangrando,"[(230, 1)]"
399,aprovarem,"[(215, 1)]"
400,palms,"[(12, 1)]"
401,esquadrão,"[(150, 1)]"
402,trata-se,"[(36, 1), (165, 1), (6, 1), (105, 1), (237, 1), (110, 1), (125, 1), (248, 2), (210, 1), (245, 1), (152, 1), (249, 1), (239, 1), (189, 1), (31, 2)]"
403,palma,"[(187, 1)]"
404,porrada,"[(230, 1)]"
405,transportes,"[(70, 1)]"
406,loren,"[(195, 4)]"
407,bolsonaro.mesmo,"[(239, 1)]"
408,sintaxe,"[(41, 1)]"
409,perguntando,"[(14, 1)]"
410,encarreguem,"[(249, 1), (245, 1)]"
411,preferissem,"[(208, 1)]"
412,corps,"[(12, 1)]"
413,empregou,"[(204, 1)]"
414,interrogatório,"[(152, 1), (204, 1), (103, 1)]"
415,entrevista,"[(65, 1), (195, 2), (4, 1), (69, 1), (211, 2), (7, 1), (73, 1), (11, 2), (162, 1), (205, 1), (17, 1), (19, 1), (84, 1), (196, 1), (151, 1), (216, 2), (25, 1), (218, 1), (222, 1), (197, 1), (32, 1), (34, 1), (165, 1), (103, 2), (232, 2), (233, 3), (193, 2), (107, 1), (108, 2), (47, 1), (241, 1), (178, 1), (83, 1), (235, 1), (183, 1), (249, 1), (60, 1), (61, 1), (190, 1)]"
416,empregos,"[(232, 1), (155, 1), (36, 1), (135, 1), (136, 2), (123, 1), (140, 1)]"
417,iolene,"[(160, 3)]"
